target,x,y,z,cell
TV_x_1,554,209,416,UH209
TV_y_1,554,230,416,UH230
TV_z_1,554,251,360,UH251
TV_x_2,584,209,416,VL209
TV_y_2,584,230,416,VL230
TV_y_3,614,230,400,WP230
TV_z_3,614,251,375,WP251
TV_x_4,645,209,400,XU209
TV_y_4,645,230,400,XU230
ID_1_1,798,213,442,ADR213
ID_2_1,798,234,375,ADR234
ID_3_1,798,255,360,ADR255
ID_6_1,798,321,390,ADR321
ID_7_1,798,342,360,ADR342
ID_8_1,798,365,400,ADR365
ID_9_1,798,386,384,ADR386
ID_0_2,828,191,390,AEV191
ID_8_2,828,365,416,AEV365
ID_1_2,828,212,408,AEV212
ID_2_2,828,234,375,AEV234
ID_3_2,828,255,360,AEV255
ID_6_2,828,321,375,AEV321
ID_7_2,828,342,360,AEV342
ID_9_2,828,386,400,AEV386
ID_3_3,858,256,375,AFZ256
ID_4_3,858,277,400,AFZ277
ID_8_3,858,365,400,AFZ365
ID_9_3,858,386,400,AFZ386
ID_2_5,919,234,375,AII234
ID_3_5,919,255,375,AII255
ID_6_5,919,321,375,AII321
ID_7_5,919,342,375,AII342
ID_6_6,950,321,390,AJN321
ID_0_6,950,191,390,AJN191
ID_1_6,950,212,442,AJN212
ID_5_6,950,300,416,AJN300
ID_0_7,980,191,416,AKR191
ID_1_7,980,212,442,AKR212
ID_4_7,980,278,416,AKR278
ID_5_7,980,299,442,AKR299
ID_6_7,980,321,390,AKR321
ID_7_7,980,342,360,AKR342
ID_2_8,1010,234,375,ALV234
ID_3_8,1010,255,375,ALV255
ID_6_8,1010,321,375,ALV321
ID_7_8,1010,342,375,ALV342
ID_2_9,1041,234,375,ANA234
ID_3_9,1041,255,360,ANA255
ID_4_9,1041,278,400,ANA278
ID_5_9,1041,299,425,ANA299
ID_8_9,1041,365,400,ANA365
ID_9_9,1041,386,400,ANA386
TV_z_2,583,251,375,VK251
ID_4_2,828,278,400,AEV278
ID_5_2,829,299,425,AEW299
ID_3_4,888,256,375,AHD256
ID_6_4,888,321,375,AHD321
ID_4_4,889,277,384,AHE277
ID_7_4,889,342,360,AHE342
ID_7_6,949,343,375,AJM343
ID_8_6,950,364,416,AJN364
ID_1_9,1042,213,400,ANB213
TV_w_1,554,187,416,UH187
TV_w_3,614,186,400,WP186
TV_x_3,614,208,400,WP208
TV_w_4,645,187,400,XU187
TV_z_4,645,252,375,XU252
ID_4_1,798,277,384,ADR277
ID_2_3,858,234,375,AFZ234
ID_6_3,858,321,375,AFZ321
ID_7_3,858,343,375,AFZ343
ID_0_4,889,190,360,AHE190
ID_1_4,889,212,408,AHE212
ID_2_4,889,234,360,AHE234
ID_5_4,889,299,408,AHE299
ID_8_4,889,364,384,AHE364
ID_9_4,889,386,384,AHE386
ID_0_5,919,190,400,AII190
ID_1_5,919,212,425,AII212
ID_4_5,919,277,400,AII277
ID_8_5,919,364,400,AII364
ID_9_5,919,386,400,AII386
ID_3_6,950,256,375,AJN256
ID_4_6,950,278,416,AJN278
ID_9_6,950,386,416,AJN386
ID_2_7,980,234,360,AKR234
ID_8_7,980,364,416,AKR364
ID_9_7,980,386,416,AKR386
ID_4_8,1010,277,400,ALV277
ID_8_8,1010,364,400,ALV364
ID_9_8,1010,386,400,ALV386
ID_6_9,1041,321,375,ANA321
ID_7_9,1041,343,375,ANA343
TV_w_2,583,187,400,VK187
ID_0_1,799,191,416,ADS191
ID_5_1,799,299,408,ADS299
ID_0_3,858,190,400,AFZ190
ID_1_3,859,212,425,AGA212
ID_5_3,859,299,425,AGA299
ID_5_5,920,299,425,AIJ299
ID_2_6,949,234,375,AJM234
ID_3_7,979,256,375,AKQ256
ID_0_8,1010,190,400,ALV190
ID_1_8,1011,212,425,ALW212
ID_5_8,1011,299,425,ALW299
ID_0_9,1041,191,425,ANA191
QU_A_2,190,489,888,GH489
QU_A_3,190,527,805,GH527
QU_E_13,411,924,864,OU924
QU_E_15,411,1003,864,OU1003
QU_E_17,411,1082,864,OU1082
QU_E_14,411,962,864,OU962
QU_E_16,411,1041,864,OU1041
QU_E_18,411,1120,864,OU1120
QU_B_19,246,1161,864,IL1161
QU_B_20,245,1199,840,IK1199
QU_C_15,301,1003,864,KO1003
QU_C_16,300,1041,840,KN1041
QU_E_1,411,450,864,OU450
QU_E_2,410,488,840,OT488
QU_E_8,411,726,828,OU726
QU_E_9,412,764,900,OV764
QU_D_6,357,647,864,MS647
QU_D_7,355,685,805,MQ685
QU_A_5,191,607,828,GI607
QU_A_6,191,646,840,GI646
QU_A_9,190,765,864,GH765
QU_A_10,190,804,840,GH804
QU_A_11,190,843,805,GH843
QU_A_13,190,923,840,GH923
QU_A_14,190,962,840,GH962
QU_A_17,190,1081,864,GH1081
QU_A_18,190,1120,840,GH1120
QU_A_19,190,1160,840,GH1160
QU_A_20,190,1199,840,GH1199
QU_A_21,190,1239,840,GH1239
QU_A_22,190,1278,840,GH1278
QU_A_23,190,1317,805,GH1317
QU_B_2,245,488,840,IK488
QU_B_3,245,527,805,IK527
QU_B_4,245,567,805,IK567
QU_B_5,245,606,805,IK606
QU_B_6,245,646,805,IK646
QU_B_7,245,685,805,IK685
